variable,pct_faltante,accion
P1075,77.79,"No aplicable a toda la muestra (módulo de submuestra) — se conserva NaN, no se imputa, se excluye del análisis principal"
P1077S23,77.79,"No aplicable a toda la muestra (módulo de submuestra) — se conserva NaN, no se imputa, se excluye del análisis principal"
P1077S22,77.79,"No aplicable a toda la muestra (módulo de submuestra) — se conserva NaN, no se imputa, se excluye del análisis principal"
PERIODO,77.79,"No aplicable a toda la muestra (módulo de submuestra) — se conserva NaN, no se imputa, se excluye del análisis principal"
P1077S21,77.79,"No aplicable a toda la muestra (módulo de submuestra) — se conserva NaN, no se imputa, se excluye del análisis principal"
